dep_code;year;panel;bdm;diff;status
01;2012;6.8;6.9;0.1;WITHIN_0.1
01;2013;7.2;7.2;0.0;EXACT
01;2014;7.1;7.1;0.0;EXACT
01;2015;7.3;7.4;0.1;WITHIN_0.1
01;2016;7.3;7.4;0.1;WITHIN_0.1
01;2017;6.8;6.7;0.1;WITHIN_0.1
01;2018;6.3;6.3;0.0;EXACT
01;2019;6.0;6.1;0.1;WITHIN_0.1
01;2020;6.1;6.1;0.0;EXACT
01;2021;5.9;5.9;0.0;EXACT
02;2012;13.7;13.7;0.0;EXACT
02;2013;14.2;14.2;0.0;EXACT
02;2014;13.9;13.9;0.0;EXACT
02;2015;13.9;13.9;0.0;EXACT
02;2016;13.6;13.6;0.0;EXACT
02;2017;13.0;13.0;0.0;EXACT
02;2018;12.4;12.4;0.0;EXACT
02;2019;11.6;11.6;0.0;EXACT
02;2020;11.0;11.0;0.0;EXACT
02;2021;10.9;11.0;0.1;WITHIN_0.1
03;2012;9.8;9.8;0.0;EXACT
03;2013;10.2;10.2;0.0;EXACT
03;2014;10.3;10.3;0.0;EXACT
03;2015;10.6;10.6;0.0;EXACT
03;2016;10.4;10.4;0.0;EXACT
03;2017;9.7;9.7;0.0;EXACT
03;2018;9.3;9.4;0.1;WITHIN_0.1
03;2019;8.9;8.9;0.0;EXACT
03;2020;8.5;8.5;0.0;EXACT
03;2021;8.2;8.1;0.1;WITHIN_0.1
04;2012;10.6;10.6;0.0;EXACT
04;2013;11.2;11.1;0.1;WITHIN_0.1
04;2014;11.2;11.2;0.0;EXACT
04;2015;11.3;11.4;0.1;WITHIN_0.1
04;2016;11.1;11.1;0.0;EXACT
04;2017;10.7;10.7;0.0;EXACT
04;2018;10.4;10.4;0.0;EXACT
04;2019;9.8;9.8;0.0;EXACT
04;2020;9.1;9.1;0.0;EXACT
04;2021;8.8;8.8;0.0;EXACT
05;2012;8.6;8.6;0.0;EXACT
05;2013;9.2;9.2;0.0;EXACT
05;2014;9.2;9.2;0.0;EXACT
05;2015;9.4;9.4;0.0;EXACT
05;2016;9.2;9.3;0.1;WITHIN_0.1
05;2017;8.7;8.7;0.0;EXACT
05;2018;8.5;8.5;0.0;EXACT
05;2019;8.0;8.0;0.0;EXACT
05;2020;7.7;7.7;0.0;EXACT
05;2021;8.0;7.9;0.1;WITHIN_0.1
06;2012;9.3;9.3;0.0;EXACT
06;2013;10.1;10.0;0.1;WITHIN_0.1
06;2014;10.3;10.3;0.0;EXACT
06;2015;10.5;10.5;0.0;EXACT
06;2016;10.3;10.3;0.0;EXACT
06;2017;9.8;9.8;0.0;EXACT
06;2018;9.3;9.4;0.1;WITHIN_0.1
06;2019;8.8;8.7;0.1;WITHIN_0.1
06;2020;8.8;8.8;0.0;EXACT
06;2021;8.6;8.5;0.1;WITHIN_0.1
07;2012;10.0;10.0;0.0;EXACT
07;2013;10.6;10.6;0.0;EXACT
07;2014;10.4;10.5;0.1;WITHIN_0.1
07;2015;10.7;10.7;0.0;EXACT
07;2016;10.6;10.6;0.0;EXACT
07;2017;10.1;10.1;0.0;EXACT
07;2018;9.8;9.8;0.0;EXACT
07;2019;9.1;9.1;0.0;EXACT
07;2020;8.7;8.7;0.0;EXACT
07;2021;8.7;8.6;0.1;WITHIN_0.1
08;2012;11.8;11.8;0.0;EXACT
08;2013;12.5;12.5;0.0;EXACT
08;2014;12.2;12.2;0.0;EXACT
08;2015;12.5;12.5;0.0;EXACT
08;2016;12.0;12.0;0.0;EXACT
08;2017;11.1;11.1;0.0;EXACT
08;2018;10.4;10.4;0.0;EXACT
08;2019;10.0;10.0;0.0;EXACT
08;2020;9.6;9.6;0.0;EXACT
08;2021;9.5;9.5;0.0;EXACT
09;2012;11.6;11.6;0.0;EXACT
09;2013;12.3;12.3;0.0;EXACT
09;2014;12.1;12.1;0.0;EXACT
09;2015;12.3;12.3;0.0;EXACT
09;2016;11.9;12.0;0.1;WITHIN_0.1
09;2017;11.5;11.5;0.0;EXACT
09;2018;11.2;11.2;0.0;EXACT
09;2019;10.6;10.6;0.0;EXACT
09;2020;9.8;9.8;0.0;EXACT
09;2021;9.7;9.7;0.0;EXACT
10;2012;10.8;10.8;0.0;EXACT
10;2013;11.8;11.8;0.0;EXACT
10;2014;12.2;12.1;0.1;WITHIN_0.1
10;2015;12.7;12.7;0.0;EXACT
10;2016;12.6;12.6;0.0;EXACT
10;2017;11.9;11.9;0.0;EXACT
10;2018;11.3;11.3;0.0;EXACT
10;2019;10.7;10.7;0.0;EXACT
10;2020;9.9;9.9;0.0;EXACT
10;2021;9.9;10.0;0.1;WITHIN_0.1
11;2012;13.1;13.0;0.1;WITHIN_0.1
11;2013;13.9;13.9;0.0;EXACT
11;2014;14.1;14.1;0.0;EXACT
11;2015;14.2;14.2;0.0;EXACT
11;2016;13.6;13.6;0.0;EXACT
11;2017;12.7;12.7;0.0;EXACT
11;2018;12.3;12.3;0.0;EXACT
11;2019;11.6;11.6;0.0;EXACT
11;2020;10.7;10.7;0.0;EXACT
11;2021;10.7;10.7;0.0;EXACT
12;2012;6.8;6.8;0.0;EXACT
12;2013;7.5;7.5;0.0;EXACT
12;2014;7.3;7.3;0.0;EXACT
12;2015;7.5;7.5;0.0;EXACT
12;2016;7.3;7.3;0.0;EXACT
12;2017;6.9;6.9;0.0;EXACT
12;2018;6.6;6.6;0.0;EXACT
12;2019;6.3;6.3;0.0;EXACT
12;2020;6.1;6.1;0.0;EXACT
12;2021;6.0;6.0;0.0;EXACT
13;2012;11.8;11.8;0.0;EXACT
13;2013;12.2;12.2;0.0;EXACT
13;2014;12.0;12.0;0.0;EXACT
13;2015;12.0;12.0;0.0;EXACT
13;2016;11.7;11.8;0.1;WITHIN_0.1
13;2017;11.3;11.3;0.0;EXACT
13;2018;10.9;10.9;0.0;EXACT
13;2019;10.1;10.1;0.0;EXACT
13;2020;9.4;9.4;0.0;EXACT
13;2021;9.2;9.2;0.0;EXACT
14;2012;9.4;9.4;0.0;EXACT
14;2013;9.8;9.8;0.0;EXACT
14;2014;9.8;9.7;0.1;WITHIN_0.1
14;2015;9.9;9.9;0.0;EXACT
14;2016;9.4;9.4;0.0;EXACT
14;2017;8.7;8.7;0.0;EXACT
14;2018;8.4;8.4;0.0;EXACT
14;2019;7.7;7.7;0.0;EXACT
14;2020;7.4;7.4;0.0;EXACT
14;2021;7.0;7.0;0.0;EXACT
15;2012;6.5;6.5;0.0;EXACT
15;2013;6.8;6.8;0.0;EXACT
15;2014;6.5;6.5;0.0;EXACT
15;2015;6.5;6.5;0.0;EXACT
15;2016;6.2;6.3;0.1;WITHIN_0.1
15;2017;5.7;5.6;0.1;WITHIN_0.1
15;2018;5.3;5.3;0.0;EXACT
15;2019;4.9;4.9;0.0;EXACT
15;2020;4.8;4.7;0.1;WITHIN_0.1
15;2021;4.3;4.3;0.0;EXACT
16;2012;10.1;10.1;0.0;EXACT
16;2013;10.3;10.3;0.0;EXACT
16;2014;10.1;10.1;0.0;EXACT
16;2015;10.1;10.1;0.0;EXACT
16;2016;9.7;9.7;0.0;EXACT
16;2017;8.9;8.9;0.0;EXACT
16;2018;8.6;8.6;0.0;EXACT
16;2019;8.1;8.1;0.0;EXACT
16;2020;7.8;7.8;0.0;EXACT
16;2021;7.4;7.4;0.0;EXACT
17;2012;9.8;9.8;0.0;EXACT
17;2013;10.5;10.4;0.1;WITHIN_0.1
17;2014;10.4;10.4;0.0;EXACT
17;2015;10.7;10.7;0.0;EXACT
17;2016;10.2;10.3;0.1;WITHIN_0.1
17;2017;9.5;9.5;0.0;EXACT
17;2018;9.0;9.0;0.0;EXACT
17;2019;8.4;8.5;0.1;WITHIN_0.1
17;2020;8.2;8.2;0.0;EXACT
17;2021;7.7;7.7;0.0;EXACT
18;2012;9.7;9.7;0.0;EXACT
18;2013;10.3;10.3;0.0;EXACT
18;2014;10.2;10.2;0.0;EXACT
18;2015;10.5;10.5;0.0;EXACT
18;2016;10.4;10.4;0.0;EXACT
18;2017;9.7;9.7;0.0;EXACT
18;2018;9.3;9.3;0.0;EXACT
18;2019;8.8;8.8;0.0;EXACT
18;2020;8.1;8.1;0.0;EXACT
18;2021;7.8;7.8;0.0;EXACT
19;2012;7.5;7.5;0.0;EXACT
19;2013;8.1;8.1;0.0;EXACT
19;2014;8.0;8.0;0.0;EXACT
19;2015;8.2;8.2;0.0;EXACT
19;2016;8.2;8.2;0.0;EXACT
19;2017;7.4;7.4;0.0;EXACT
19;2018;7.2;7.2;0.0;EXACT
19;2019;6.7;6.7;0.0;EXACT
19;2020;6.5;6.5;0.0;EXACT
19;2021;6.4;6.4;0.0;EXACT
21;2012;8.1;8.1;0.0;EXACT
21;2013;8.7;8.7;0.0;EXACT
21;2014;8.6;8.6;0.0;EXACT
21;2015;8.8;8.8;0.0;EXACT
21;2016;8.5;8.5;0.0;EXACT
21;2017;7.8;7.8;0.0;EXACT
21;2018;7.3;7.4;0.1;WITHIN_0.1
21;2019;6.8;6.9;0.1;WITHIN_0.1
21;2020;6.3;6.3;0.0;EXACT
21;2021;5.9;5.9;0.0;EXACT
22;2012;8.2;8.2;0.0;EXACT
22;2013;8.9;8.9;0.0;EXACT
22;2014;9.0;9.0;0.0;EXACT
22;2015;9.1;9.1;0.0;EXACT
22;2016;9.0;9.0;0.0;EXACT
22;2017;8.3;8.3;0.0;EXACT
22;2018;7.9;7.9;0.0;EXACT
22;2019;7.4;7.4;0.0;EXACT
22;2020;7.0;7.1;0.1;WITHIN_0.1
22;2021;6.8;6.8;0.0;EXACT
23;2012;9.4;9.4;0.0;EXACT
23;2013;9.8;9.8;0.0;EXACT
23;2014;9.4;9.4;0.0;EXACT
23;2015;9.5;9.5;0.0;EXACT
23;2016;9.1;9.1;0.0;EXACT
23;2017;8.5;8.5;0.0;EXACT
23;2018;8.5;8.5;0.0;EXACT
23;2019;7.9;7.9;0.0;EXACT
23;2020;7.1;7.1;0.0;EXACT
23;2021;7.0;7.0;0.0;EXACT
24;2012;10.3;10.3;0.0;EXACT
24;2013;10.6;10.6;0.0;EXACT
24;2014;10.6;10.6;0.0;EXACT
24;2015;10.7;10.7;0.0;EXACT
24;2016;10.3;10.3;0.0;EXACT
24;2017;9.7;9.6;0.1;WITHIN_0.1
24;2018;9.1;9.1;0.0;EXACT
24;2019;8.5;8.5;0.0;EXACT
24;2020;8.0;8.0;0.0;EXACT
24;2021;7.6;7.6;0.0;EXACT
25;2012;8.9;8.9;0.0;EXACT
25;2013;9.5;9.5;0.0;EXACT
25;2014;9.4;9.4;0.0;EXACT
25;2015;9.5;9.5;0.0;EXACT
25;2016;9.1;9.2;0.1;WITHIN_0.1
25;2017;8.2;8.3;0.1;WITHIN_0.1
25;2018;7.7;7.7;0.0;EXACT
25;2019;7.6;7.6;0.0;EXACT
25;2020;7.5;7.5;0.0;EXACT
25;2021;7.2;7.2;0.0;EXACT
26;2012;10.4;10.3;0.1;WITHIN_0.1
26;2013;10.8;10.8;0.0;EXACT
26;2014;10.8;10.8;0.0;EXACT
26;2015;11.2;11.2;0.0;EXACT
26;2016;10.9;10.9;0.0;EXACT
26;2017;10.1;10.1;0.0;EXACT
26;2018;9.8;9.8;0.0;EXACT
26;2019;9.2;9.2;0.0;EXACT
26;2020;8.6;8.6;0.0;EXACT
26;2021;8.5;8.5;0.0;EXACT
27;2012;10.1;10.1;0.0;EXACT
27;2013;10.6;10.6;0.0;EXACT
27;2014;10.4;10.4;0.0;EXACT
27;2015;10.4;10.4;0.0;EXACT
27;2016;10.2;10.3;0.1;WITHIN_0.1
27;2017;9.5;9.5;0.0;EXACT
27;2018;9.1;9.1;0.0;EXACT
27;2019;8.4;8.4;0.0;EXACT
27;2020;8.0;8.0;0.0;EXACT
27;2021;7.8;7.7;0.1;WITHIN_0.1
28;2012;9.1;9.1;0.0;EXACT
28;2013;9.6;9.6;0.0;EXACT
28;2014;9.6;9.6;0.0;EXACT
28;2015;9.7;9.7;0.0;EXACT
28;2016;9.4;9.5;0.1;WITHIN_0.1
28;2017;8.9;8.9;0.0;EXACT
28;2018;8.5;8.5;0.0;EXACT
28;2019;8.2;8.2;0.0;EXACT
28;2020;7.4;7.4;0.0;EXACT
28;2021;7.0;7.0;0.0;EXACT
29;2012;8.5;8.5;0.0;EXACT
29;2013;9.1;9.1;0.0;EXACT
29;2014;9.1;9.1;0.0;EXACT
29;2015;9.2;9.2;0.0;EXACT
29;2016;8.9;9.0;0.1;WITHIN_0.1
29;2017;8.2;8.2;0.0;EXACT
29;2018;7.8;7.8;0.0;EXACT
29;2019;7.3;7.3;0.0;EXACT
29;2020;7.0;7.0;0.0;EXACT
29;2021;6.7;6.7;0.0;EXACT
2A;2012;8.7;8.7;0.0;EXACT
2A;2013;9.2;9.2;0.0;EXACT
2A;2014;9.4;9.4;0.0;EXACT
2A;2015;9.7;9.7;0.0;EXACT
2A;2016;9.4;9.4;0.0;EXACT
2A;2017;9.1;9.1;0.0;EXACT
2A;2018;8.3;8.3;0.0;EXACT
2A;2019;7.7;7.7;0.0;EXACT
2A;2020;7.7;7.7;0.0;EXACT
2A;2021;6.5;6.5;0.0;EXACT
2B;2012;9.3;9.4;0.1;WITHIN_0.1
2B;2013;10.2;10.2;0.0;EXACT
2B;2014;10.7;10.7;0.0;EXACT
2B;2015;11.2;11.1;0.1;WITHIN_0.1
2B;2016;10.5;10.6;0.1;WITHIN_0.1
2B;2017;9.8;9.7;0.1;WITHIN_0.1
2B;2018;9.3;9.4;0.1;WITHIN_0.1
2B;2019;8.4;8.4;0.0;EXACT
2B;2020;8.1;8.0;0.1;WITHIN_0.1
2B;2021;7.0;7.0;0.0;EXACT
30;2012;12.6;12.6;0.0;EXACT
30;2013;13.5;13.5;0.0;EXACT
30;2014;13.7;13.7;0.0;EXACT
30;2015;13.8;13.8;0.0;EXACT
30;2016;13.3;13.3;0.0;EXACT
30;2017;12.6;12.5;0.1;WITHIN_0.1
30;2018;12.2;12.2;0.0;EXACT
30;2019;11.6;11.6;0.0;EXACT
30;2020;10.7;10.7;0.0;EXACT
30;2021;10.5;10.5;0.0;EXACT
31;2012;9.7;9.7;0.0;EXACT
31;2013;10.3;10.3;0.0;EXACT
31;2014;10.5;10.5;0.0;EXACT
31;2015;10.6;10.6;0.0;EXACT
31;2016;10.1;10.1;0.0;EXACT
31;2017;9.2;9.2;0.0;EXACT
31;2018;8.6;8.6;0.0;EXACT
31;2019;8.1;8.1;0.0;EXACT
31;2020;8.0;8.0;0.0;EXACT
31;2021;8.1;8.1;0.0;EXACT
32;2012;7.3;7.3;0.0;EXACT
32;2013;8.0;8.0;0.0;EXACT
32;2014;7.9;8.0;0.1;WITHIN_0.1
32;2015;8.3;8.3;0.0;EXACT
32;2016;8.0;8.0;0.0;EXACT
32;2017;7.2;7.2;0.0;EXACT
32;2018;6.7;6.7;0.0;EXACT
32;2019;6.3;6.3;0.0;EXACT
32;2020;6.0;6.0;0.0;EXACT
32;2021;6.1;6.1;0.0;EXACT
33;2012;9.6;9.6;0.0;EXACT
33;2013;10.0;10.0;0.0;EXACT
33;2014;10.1;10.1;0.0;EXACT
33;2015;10.3;10.3;0.0;EXACT
33;2016;10.0;10.0;0.0;EXACT
33;2017;9.4;9.3;0.1;WITHIN_0.1
33;2018;8.8;8.8;0.0;EXACT
33;2019;8.1;8.1;0.0;EXACT
33;2020;7.6;7.7;0.1;WITHIN_0.1
33;2021;7.3;7.3;0.0;EXACT
34;2012;13.5;13.5;0.0;EXACT
34;2013;14.2;14.3;0.1;WITHIN_0.1
34;2014;14.2;14.2;0.0;EXACT
34;2015;14.1;14.1;0.0;EXACT
34;2016;13.7;13.7;0.0;EXACT
34;2017;13.0;13.0;0.0;EXACT
34;2018;12.6;12.5;0.1;WITHIN_0.1
34;2019;11.8;11.8;0.0;EXACT
34;2020;11.1;11.1;0.0;EXACT
34;2021;10.8;10.8;0.0;EXACT
35;2012;7.8;7.7;0.1;WITHIN_0.1
35;2013;8.2;8.2;0.0;EXACT
35;2014;8.1;8.1;0.0;EXACT
35;2015;8.2;8.2;0.0;EXACT
35;2016;7.9;7.9;0.0;EXACT
35;2017;7.2;7.2;0.0;EXACT
35;2018;6.8;6.8;0.0;EXACT
35;2019;6.4;6.4;0.0;EXACT
35;2020;6.5;6.5;0.0;EXACT
35;2021;5.8;5.8;0.0;EXACT
36;2012;8.8;8.8;0.0;EXACT
36;2013;9.3;9.4;0.1;WITHIN_0.1
36;2014;9.5;9.5;0.0;EXACT
36;2015;9.6;9.7;0.1;WITHIN_0.1
36;2016;9.8;9.8;0.0;EXACT
36;2017;9.1;9.1;0.0;EXACT
36;2018;8.8;8.8;0.0;EXACT
36;2019;8.2;8.2;0.0;EXACT
36;2020;7.8;7.9;0.1;WITHIN_0.1
36;2021;7.5;7.5;0.0;EXACT
37;2012;8.4;8.4;0.0;EXACT
37;2013;9.0;9.0;0.0;EXACT
37;2014;9.1;9.1;0.0;EXACT
37;2015;9.3;9.3;0.0;EXACT
37;2016;9.1;9.1;0.0;EXACT
37;2017;8.5;8.5;0.0;EXACT
37;2018;8.1;8.1;0.0;EXACT
37;2019;7.7;7.7;0.0;EXACT
37;2020;7.2;7.2;0.0;EXACT
37;2021;6.8;6.9;0.1;WITHIN_0.1
38;2012;8.1;8.0;0.1;WITHIN_0.1
38;2013;8.3;8.3;0.0;EXACT
38;2014;8.2;8.3;0.1;WITHIN_0.1
38;2015;8.6;8.6;0.0;EXACT
38;2016;8.4;8.4;0.0;EXACT
38;2017;7.8;7.8;0.0;EXACT
38;2018;7.3;7.4;0.1;WITHIN_0.1
38;2019;6.9;6.9;0.0;EXACT
38;2020;6.6;6.6;0.0;EXACT
38;2021;6.5;6.5;0.0;EXACT
39;2012;7.1;7.1;0.0;EXACT
39;2013;7.6;7.6;0.0;EXACT
39;2014;7.5;7.6;0.1;WITHIN_0.1
39;2015;7.8;7.7;0.1;WITHIN_0.1
39;2016;7.5;7.5;0.0;EXACT
39;2017;6.8;6.8;0.0;EXACT
39;2018;6.4;6.4;0.0;EXACT
39;2019;6.1;6.1;0.0;EXACT
39;2020;5.8;5.8;0.0;EXACT
39;2021;5.4;5.4;0.0;EXACT
40;2012;8.8;8.8;0.0;EXACT
40;2013;9.4;9.4;0.0;EXACT
40;2014;9.4;9.4;0.0;EXACT
40;2015;9.6;9.6;0.0;EXACT
40;2016;9.4;9.4;0.0;EXACT
40;2017;9.0;9.0;0.0;EXACT
40;2018;8.5;8.5;0.0;EXACT
40;2019;8.0;8.0;0.0;EXACT
40;2020;7.7;7.7;0.0;EXACT
40;2021;7.5;7.5;0.0;EXACT
41;2012;8.4;8.4;0.0;EXACT
41;2013;9.1;9.1;0.0;EXACT
41;2014;9.0;9.0;0.0;EXACT
41;2015;9.0;9.0;0.0;EXACT
41;2016;8.7;8.7;0.0;EXACT
41;2017;8.0;8.0;0.0;EXACT
41;2018;7.7;7.7;0.0;EXACT
41;2019;7.2;7.1;0.1;WITHIN_0.1
41;2020;6.6;6.6;0.0;EXACT
41;2021;6.4;6.4;0.0;EXACT
42;2012;9.5;9.5;0.0;EXACT
42;2013;10.1;10.1;0.0;EXACT
42;2014;10.0;10.0;0.0;EXACT
42;2015;10.2;10.2;0.0;EXACT
42;2016;9.9;10.0;0.1;WITHIN_0.1
42;2017;9.2;9.2;0.0;EXACT
42;2018;8.7;8.7;0.0;EXACT
42;2019;8.2;8.3;0.1;WITHIN_0.1
42;2020;7.9;7.9;0.0;EXACT
42;2021;7.6;7.6;0.0;EXACT
43;2012;7.9;7.9;0.0;EXACT
43;2013;8.5;8.5;0.0;EXACT
43;2014;8.4;8.4;0.0;EXACT
43;2015;8.4;8.4;0.0;EXACT
43;2016;8.2;8.3;0.1;WITHIN_0.1
43;2017;7.4;7.4;0.0;EXACT
43;2018;7.0;7.1;0.1;WITHIN_0.1
43;2019;6.6;6.6;0.0;EXACT
43;2020;6.2;6.3;0.1;WITHIN_0.1
43;2021;6.0;6.0;0.0;EXACT
44;2012;8.0;8.0;0.0;EXACT
44;2013;8.5;8.5;0.0;EXACT
44;2014;8.7;8.7;0.0;EXACT
44;2015;8.8;8.8;0.0;EXACT
44;2016;8.3;8.3;0.0;EXACT
44;2017;7.5;7.6;0.1;WITHIN_0.1
44;2018;7.2;7.2;0.0;EXACT
44;2019;6.8;6.8;0.0;EXACT
44;2020;6.8;6.9;0.1;WITHIN_0.1
44;2021;6.4;6.4;0.0;EXACT
45;2012;9.2;9.2;0.0;EXACT
45;2013;9.8;9.8;0.0;EXACT
45;2014;10.0;10.0;0.0;EXACT
45;2015;10.1;10.1;0.0;EXACT
45;2016;9.9;9.9;0.0;EXACT
45;2017;9.1;9.0;0.1;WITHIN_0.1
45;2018;8.7;8.7;0.0;EXACT
45;2019;8.4;8.4;0.0;EXACT
45;2020;7.6;7.6;0.0;EXACT
45;2021;7.3;7.3;0.0;EXACT
46;2012;9.2;9.2;0.0;EXACT
46;2013;9.5;9.5;0.0;EXACT
46;2014;9.2;9.2;0.0;EXACT
46;2015;9.2;9.2;0.0;EXACT
46;2016;9.1;9.1;0.0;EXACT
46;2017;8.8;8.8;0.0;EXACT
46;2018;8.6;8.6;0.0;EXACT
46;2019;8.3;8.3;0.0;EXACT
46;2020;8.0;7.9;0.1;WITHIN_0.1
46;2021;7.8;7.8;0.0;EXACT
47;2012;9.7;9.7;0.0;EXACT
47;2013;10.0;10.0;0.0;EXACT
47;2014;10.0;10.0;0.0;EXACT
47;2015;10.3;10.3;0.0;EXACT
47;2016;10.2;10.2;0.0;EXACT
47;2017;9.2;9.3;0.1;WITHIN_0.1
47;2018;8.9;8.9;0.0;EXACT
47;2019;8.6;8.6;0.0;EXACT
