"dep_code";year;pop_jan1
"01";2012;612191
"02";2012;540888
"03";2012;342911
"04";2012;161241
"05";2012;139554
"06";2012;1082014
"07";2012;318407
"08";2012;282778
"09";2012;152366
"10";2012;305606
"11";2012;362339
"12";2012;276229
"13";2012;1984784
"14";2012;687854
"15";2012;147415
"16";2012;353657
"17";2012;628733
"18";2012;311897
"19";2012;241247
"2A";2012;145429
"2B";2012;170828
"21";2012;527403
"22";2012;595531
"23";2012;121517
"24";2012;416384
"25";2012;531062
"26";2012;491334
"27";2012;591616
"28";2012;432107
"29";2012;901293
"30";2012;725618
"31";2012;1279349
"32";2012;189530
"33";2012;1483712
"34";2012;1077627
"35";2012;1007901
"36";2012;228692
"37";2012;596937
"38";2012;1224993
"39";2012;260932
"40";2012;392884
"41";2012;331656
"42";2012;753763
"43";2012;225686
"44";2012;1313321
"45";2012;662297
"46";2012;174346
"47";2012;332119
"48";2012;76889
"49";2012;795557
"50";2012;499340
"51";2012;568750
"52";2012;182136
"53";2012;307453
"54";2012;733266
"55";2012;192800
"56";2012;732372
"57";2012;1046468
"58";2012;216786
"59";2012;2587128
"60";2012;810300
"61";2012;290015
"62";2012;1463628
"63";2012;638092
"64";2012;660871
"65";2012;228854
"66";2012;457793
"67";2012;1104667
"68";2012;755202
"69";2012;1762866
"70";2012;239750
"71";2012;555039
"72";2012;567382
"73";2012;421105
"74";2012;756501
"75";2012;2240621
"76";2012;1253931
"77";2012;1353946
"78";2012;1412356
"79";2012;371583
"80";2012;571154
"81";2012;378947
"82";2012;246971
"83";2012;1021669
"84";2012;546314
"85";2012;648901
"86";2012;430018
"87";2012;375869
"88";2012;377282
"89";2012;341902
"90";2012;143940
"91";2012;1237507
"92";2012;1586434
"93";2012;1538726
"94";2012;1341831
"95";2012;1187081
"01";2013;619497
"02";2013;540067
"03";2013;343431
"04";2013;161916
"05";2013;139279
"06";2013;1080771
"07";2013;320379
"08";2013;280907
"09";2013;152684
"10";2013;306581
"11";2013;364877
"12";2013;277740
"13";2013;1993177
"14";2013;689945
"15";2013;147035
"16";2013;353482
"17";2013;633417
"18";2013;311650
"19";2013;240781
"2A";2013;149234
"2B";2013;170974
"21";2013;529761
"22";2013;597085
"23";2013;120872
"24";2013;416909
"25";2013;533320
"26";2013;494712
"27";2013;595043
"28";2013;432967
"29";2013;903921
"30";2013;733201
"31";2013;1298562
"32";2013;190276
"33";2013;1505517
"34";2013;1092331
"35";2013;1019923
"36";2013;228091
"37";2013;600252
"38";2013;1235387
"39";2013;260502
"40";2013;397226
"41";2013;332001
"42";2013;756715
"43";2013;226203
"44";2013;1328620
"45";2013;665587
"46";2013;173758
"47";2013;333180
"48";2013;76607
"49";2013;800191
"50";2013;499919
"51";2013;569999
"52";2013;181521
"53";2013;307500
"54";2013;731004
"55";2013;192094
"56";2013;737778
"57";2013;1046873
"58";2013;215221
"59";2013;2595536
"60";2013;815400
"61";2013;288848
"62";2013;1465205
"63";2013;640999
"64";2013;664057
"65";2013;228868
"66";2013;462705
"67";2013;1109460
"68";2013;758723
"69";2013;1779845
"70";2013;238956
"71";2013;556222
"72";2013;569035
"73";2013;423715
"74";2013;769677
"75";2013;2229621
"76";2013;1254609
"77";2013;1365200
"78";2013;1418484
"79";2013;371632
"80";2013;571675
"81";2013;381927
"82";2013;250342
"83";2013;1028583
"84";2013;549949
"85";2013;655506
"86";2013;431248
"87";2013;375856
"88";2013;375226
"89";2013;341483
"90";2013;144318
"91";2013;1253931
"92";2013;1591403
"93";2013;1552482
"94";2013;1354005
"95";2013;1194681
"01";2014;626127
"02";2014;539783
"03";2014;343062
"04";2014;161588
"05";2014;139883
"06";2014;1083312
"07";2014;322381
"08";2014;279715
"09";2014;152574
"10";2014;308094
"11";2014;365478
"12";2014;278644
"13";2014;2006069
"14";2014;691670
"15";2014;146618
"16";2014;353853
"17";2014;637089
"18";2014;310270
"19";2014;241340
"2A";2014;151652
"2B";2014;172560
"21";2014;531380
"22";2014;597397
"23";2014;120581
"24";2014;416350
"25";2014;534710
"26";2014;499159
"27";2014;598347
"28";2014;433762
"29";2014;905855
"30";2014;736029
"31";2014;1317668
"32";2014;190625
"33";2014;1526016
"34";2014;1107398
"35";2014;1032240
"36";2014;226175
"37";2014;603924
"38";2014;1243597
"39";2014;260681
"40";2014;400477
"41";2014;333567
"42";2014;757305
"43";2014;226565
"44";2014;1346592
"45";2014;669737
"46";2014;173648
"47";2014;333234
"48";2014;76360
"49";2014;805888
"50";2014;499958
"51";2014;570817
"52";2014;180673
"53";2014;307471
"54";2014;732153
"55";2014;191530
"56";2014;741051
"57";2014;1045154
"58";2014;213569
"59";2014;2603472
"60";2014;818680
"61";2014;287750
"62";2014;1472589
"63";2014;644216
"64";2014;667249
"65";2014;228950
"66";2014;466327
"67";2014;1112815
"68";2014;760134
"69";2014;1801885
"70";2014;238347
"71";2014;555788
"72";2014;568760
"73";2014;426924
"74";2014;783127
"75";2014;2220445
"76";2014;1257920
"77";2014;1377846
"78";2014;1421670
"79";2014;373553
"80";2014;571632
"81";2014;384474
"82";2014;252578
"83";2014;1038212
"84";2014;554374
"85";2014;662122
"86";2014;433203
"87";2014;376199
"88";2014;373560
"89";2014;341814
"90";2014;144334
"91";2014;1268228
"92";2014;1597770
"93";2014;1571028
"94";2014;1365039
"95";2014;1205539
"01";2015;631877
"02";2015;538659
"03";2015;341613
"04";2015;161799
"05";2015;140916
"06";2015;1082440
"07";2015;324209
"08";2015;277752
"09";2015;152499
"10";2015;309056
"11";2015;366957
"12";2015;279169
"13";2015;2016622
"14";2015;693579
"15";2015;146219
"16";2015;353613
"17";2015;639938
"18";2015;308992
"19";2015;241871
"2A";2015;152730
"2B";2015;174553
"21";2015;533147
"22";2015;598357
"23";2015;120365
"24";2015;415417
"25";2015;536959
"26";2015;504637
"27";2015;601948
"28";2015;434035
"29";2015;907796
"30";2015;738189
"31";2015;1335103
"32";2015;190932
"33";2015;1548478
"34";2015;1120190
"35";2015;1042884
"36";2015;224200
"37";2015;604966
"38";2015;1251060
"39";2015;260587
"40";2015;403234
"41";2015;333050
"42";2015;759411
"43";2015;227034
"44";2015;1365227
"45";2015;673349
"46";2015;173400
"47";2015;333417
"48";2015;76309
"49";2015;810186
"50";2015;499287
"51";2015;572293
"52";2015;179154
"53";2015;307940
"54";2015;734403
"55";2015;190626
"56";2015;744813
"57";2015;1044486
"58";2015;211747
"59";2015;2605238
"60";2015;821552
"61";2015;286618
"62";2015;1472648
"63";2015;647501
"64";2015;670032
"65";2015;228582
"66";2015;471038
"67";2015;1116658
"68";2015;762607
"69";2015;1821995
"70";2015;237706
"71";2015;555408
"72";2015;568445
"73";2015;428204
"74";2015;793938
"75";2015;2206488
"76";2015;1257699
"77";2015;1390121
"78";2015;1427291
"79";2015;374435
"80";2015;571879
"81";2015;386543
"82";2015;255274
"83";2015;1048652
"84";2015;557548
"85";2015;666714
"86";2015;434887
"87";2015;375795
"88";2015;372016
"89";2015;340903
"90";2015;144483
"91";2015;1276233
"92";2015;1601569
"93";2015;1592663
"94";2015;1372389
"95";2015;1215390
"01";2016;638425
"02";2016;536136
"03";2016;339384
"04";2016;162565
"05";2016;141107
"06";2016;1083704
"07";2016;325157
"08";2016;275371
"09";2016;153067
"10";2016;308910
"11";2016;368025
"12";2016;278697
"13";2016;2019717
"14";2016;693679
"15";2016;145969
"16";2016;353288
"17";2016;642191
"18";2016;307110
"19";2016;241535
"2A";2016;154303
"2B";2016;176152
"21";2016;533213
"22";2016;598953
"23";2016;119502
"24";2016;414789
"25";2016;538549
"26";2016;508006
"27";2016;602825
"28";2016;433929
"29";2016;908249
"30";2016;742006
"31";2016;1348183
"32";2016;190664
"33";2016;1566679
"34";2016;1132481
"35";2016;1051779
"36";2016;223505
"37";2016;606223
"38";2016;1252912
"39";2016;260517
"40";2016;405010
"41";2016;332769
"42";2016;761997
"43";2016;227339
"44";2016;1380852
"45";2016;674330
"46";2016;173347
"47";2016;332833
"48";2016;76422
"49";2016;810934
"50";2016;498362
"51";2016;570883
"52";2016;178084
"53";2016;307688
"54";2016;733821
"55";2016;189055
"56";2016;747548
"57";2016;1045271
"58";2016;209161
"59";2016;2603723
"60";2016;823542
"61";2016;285308
"62";2016;1470725
"63";2016;650700
"64";2016;673986
"65";2016;227829
"66";2016;474369
"67";2016;1121407
"68";2016;762743
"69";2016;1835903
"70";2016;237242
"71";2016;555023
"72";2016;567561
"73";2016;429681
"74";2016;801416
"75";2016;2190327
"76";2016;1255755
"77";2016;1397665
"78";2016;1431808
"79";2016;374743
"80";2016;572744
"81";2016;386448
"82";2016;256897
"83";2016;1055821
"84";2016;559014
"85";2016;670597
"86";2016;436069
"87";2016;374978
"88";2016;369641
"89";2016;340544
"90";2016;144089
"91";2016;1287330
"92";2016;1603268
"93";2016;1606660
"94";2016;1378151
"95";2016;1221923
"01";2017;643350
"02";2017;534490
"03";2017;337988
"04";2017;163915
"05";2017;141284
"06";2017;1083310
"07";2017;325712
"08";2017;273579
"09";2017;153153
"10";2017;310020
"11";2017;370260
"12";2017;279206
"13";2017;2024162
"14";2017;694002
"15";2017;145143
"16";2017;352335
"17";2017;644303
"18";2017;304256
"19";2017;241464
"2A";2017;157249
"2B";2017;177689
"21";2017;533819
"22";2017;598814
"23";2017;118638
"24";2017;413606
"25";2017;539067
"26";2017;511553
"27";2017;601843
"28";2017;433233
"29";2017;909028
"30";2017;744178
"31";2017;1362672
"32";2017;191091
"33";2017;1583384
"34";2017;1144892
"35";2017;1060199
"36";2017;222232
"37";2017;606511
"38";2017;1258722
"39";2017;260188
"40";2017;407444
"41";2017;331915
"42";2017;762941
"43";2017;227283
"44";2017;1394909
"45";2017;678105
"46";2017;173828
"47";2017;332842
"48";2017;76601
"49";2017;813493
"50";2017;496883
"51";2017;568895
"52";2017;175640
"53";2017;307445
"54";2017;733481
"55";2017;187187
"56";2017;750863
"57";2017;1043522
"58";2017;207182
"59";2017;2604361
"60";2017;824503
"61";2017;283372
"62";2017;1468018
"63";2017;653742
"64";2017;677309
"65";2017;228530
"66";2017;474452
"67";2017;1125559
"68";2017;764030
"69";2017;1843319
"70";2017;236659
"71";2017;553595
"72";2017;566506
"73";2017;431174
"74";2017;807360
"75";2017;2187526
"76";2017;1254378
"77";2017;1403997
"78";2017;1438266
"79";2017;374351
"80";2017;572443
"81";2017;387890
"82";2017;258349
"83";2017;1058740
"84";2017;559479
"85";2017;675247
"86";2017;436876
"87";2017;374426
"88";2017;367673
"89";2017;338291
"90";2017;142622
"91";2017;1296130
"92";2017;1609306
"93";2017;1623111
"94";2017;1387926
"95";2017;1228618
"01";2018;647634
"02";2018;533316
"03";2018;337171
"04";2018;164068
"05";2018;140698
"06";2018;1086219
"07";2018;326606
"08";2018;271845
"09";2018;153066
"10";2018;310020
"11";2018;372806
"12";2018;279274
"13";2018;2034357
"14";2018;694056
"15";2018;144765
"16";2018;351778
"17";2018;646932
"18";2018;303408
"19";2018;240583
"2A";2018;157853
"2B";2018;180701
"21";2018;533220
"22";2018;599584
"23";2018;117503
"24";2018;413418
"25";2018;541454
"26";2018;514732
"27";2018;599962
"28";2018;431997
"29";2018;911735
"30";2018;745458
"31";2018;1380672
"32";2018;191283
"33";2018;1601845
"34";2018;1159220
"35";2018;1069228
"36";2018;220595
"37";2018;607760
"38";2018;1263563
"39";2018;259746
"40";2018;410355
"41";2018;330248
"42";2018;763441
"43";2018;227552
"44";2018;1412502
"45";2018;678845
"46";2018;173929
"47";2018;331970
"48";2018;76520
"49";2018;815883
"50";2018;495983
"51";2018;567462
"52";2018;174069
"53";2018;307084
"54";2018;733469
"55";2018;185355
"56";2018;754867
"57";2018;1043524
"58";2018;205828
"59";2018;2606234
"60";2018;827153
"61";2018;281593
"62";2018;1466743
"63";2018;659048
"64";2018;679810
"65";2018;229191
"66";2018;476357
"67";2018;1133552
"68";2018;764981
"69";2018;1859524
"70";2018;236018
"71";2018;552185
"72";2018;565963
"73";2018;433724
"74";2018;816699
"75";2018;2175601
"76";2018;1255883
"77";2018;1412516
"78";2018;1441398
"79";2018;374799
"80";2018;570662
"81";2018;388596
"82";2018;259124
"83";2018;1067697
"84";2018;559793
"85";2018;679991
"86";2018;437586
"87";2018;373199
"88";2018;366112
"89";2018;337504
"90";2018;141852
"91";2018;1296641
"92";2018;1619120
"93";2018;1632677
"94";2018;1396913
"95";2018;1238581
"01";2019;652432
"02";2019;531345
"03";2019;335975
"04";2019;164308
"05";2019;141220
"06";2019;1094283
"07";2019;328278
"08";2019;270582
"09";2019;153287
"10";2019;310242
"11";2019;374070
"12";2019;279595
"13";2019;2043110
"14";2019;694905
"15";2019;144692
"16";2019;352015
"17";2019;651358
"18";2019;302306
"19";2019;240073
"2A";2019;158507
"2B";2019;181933
"21";2019;534124
"22";2019;600582
"23";2019;116617
"24";2019;413223
"25";2019;543974
"26";2019;516762
"27";2019;599507
"28";2019;431575
"29";2019;915090
"30";2019;748437
"31";2019;1400039
"32";2019;191377
"33";2019;1623749
"34";2019;1175623
"35";2019;1079498
"36";2019;219316
"37";2019;610079
"38";2019;1271166
"39";2019;259199
"40";2019;413690
"41";2019;329470
"42";2019;765634
"43";2019;227570
"44";2019;1429272
"45";2019;680434
"46";2019;174094
"47";2019;331271
"48";2019;76604
"49";2019;818273
"50";2019;495045
"51";2019;566855
"52";2019;172512
"53";2019;307062
"54";2019;733760
"55";2019;184083
"56";2019;759684
"57";2019;1046543
"58";2019;204452
"59";2019;2608346
"60";2019;829419
"61";2019;279942
"62";2019;1465278
"63";2019;662152
"64";2019;682621
"65";2019;229567
"66";2019;479979
"67";2019;1140057
"68";2019;767086
"69";2019;1875747
"70";2019;235313
"71";2019;551493
"72";2019;566412
"73";2019;436434
"74";2019;826094
"75";2019;2165423
"76";2019;1255633
"77";2019;1421197
"78";2019;1448207
"79";2019;374878
"80";2019;570559
"81";2019;389844
"82";2019;260669
"83";2019;1076711
"84";2019;561469
"85";2019;685442
"86";2019;438435
"87";2019;372359
"88";2019;364499
"89";2019;335707
"90";2019;141318
"91";2019;1301659
"92";2019;1624357
"93";2019;1644903
"94";2019;1407124
"95";2019;1249674
"01";2020;657856
"02";2020;529374
"03";2020;335628
"04";2020;165451
"05";2020;140605
"06";2020;1097410
"07";2020;329325
"08";2020;269701
"09";2020;153954
"10";2020;311435
"11";2020;375217
"12";2020;279554
"13";2020;2048070
"14";2020;697547
"15";2020;144379
"16";2020;351718
"17";2020;655709
"18";2020;300933
"19";2020;239190
"2A";2020;160814
"2B";2020;182887
"21";2020;535078
"22";2020;603640
"23";2020;115995
"24";2020;412807
"25";2020;545209
"26";2020;517709
"27";2020;599668
"28";2020;431443
"29";2020;917179
"30";2020;751457
"31";2020;1415757
"32";2020;191819
"33";2020;1636391
"34";2020;1188973
"35";2020;1088855
"36";2020;218707
"37";2020;612119
"38";2020;1277513
"39";2020;258798
"40";2020;418122
"41";2020;329357
"42";2020;768508
"43";2020;227489
"44";2020;1445171
"45";2020;682304
"46";2020;174670
"47";2020;330844
"48";2020;76633
"49";2020;820713
"50";2020;495093
"51";2020;566659
"52";2020;171798
"53";2020;306538
"54";2020;732590
"55";2020;183001
"56";2020;764161
"57";2020;1049155
"58";2020;202670
"59";2020;2607746
"60";2020;829699
"61";2020;278475
"62";2020;1462167
"63";2020;661852
"64";2020;687240
"65";2020;229788
"66";2020;482765
"67";2020;1148073
"68";2020;767842
"69";2020;1883437
"70";2020;234601
"71";2020;551063
"72";2020;566993
"73";2020;439750
"74";2020;835206
"75";2020;2145906
"76";2020;1254739
"77";2020;1428636
"78";2020;1449723
"79";2020;374481
"80";2020;568748
"81";2020;391066
"82";2020;262316
"83";2020;1085189
"84";2020;561941
"85";2020;692705
"86";2020;439332
"87";2020;372123
"88";2020;362397
"89";2020;334156
"90";2020;140120
"91";2020;1306118
"92";2020;1626213
"93";2020;1655422
"94";2020;1407972
"95";2020;1251804
"01";2021;663202
"02";2021;527468
"03";2021;334872
"04";2021;166077
"05";2021;140976
"06";2021;1103941
"07";2021;331415
"08";2021;268859
"09";2021;154596
"10";2021;311329
"11";2021;376028
"12";2021;279649
"13";2021;2056943
"14";2021;700633
"15";2021;144226
"16";2021;350867
"17";2021;661404
"18";2021;299573
"19";2021;239784
"2A";2021;162942
"2B";2021;184655
"21";2021;535503
"22";2021;605917
"23";2021;115702
"24";2021;413730
"25";2021;547096
"26";2021;519458
"27";2021;598934
"28";2021;431277
"29";2021;921638
"30";2021;756543
"31";2021;1434367
"32";2021;192437
"33";2021;1654970
"34";2021;1201883
"35";2021;1098325
"36";2021;217228
"37";2021;612160
"38";2021;1284948
"39";2021;258555
"40";2021;422976
"41";2021;328504
"42";2021;769029
"43";2021;227284
"44";2021;1457806
"45";2021;684561
"46";2021;174942
"47";2021;331229
"48";2021;76519
"49";2021;824743
"50";2021;495508
"51";2021;565292
"52";2021;171042
"53";2021;305933
"54";2021;732486
"55";2021;181919
"56";2021;768687
"57";2021;1049942
"58";2021;202417
"59";2021;2611293
"60";2021;828838
"61";2021;276973
"62";2021;1461441
"63";2021;662285
"64";2021;693027
"65";2021;230956
"66";2021;487307
"67";2021;1152662
"68";2021;767083
"69";2021;1893692
"70";2021;234296
"71";2021;549288
"72";2021;566058
"73";2021;442468
"74";2021;841482
"75";2021;2133111
"76";2021;1255918
"77";2021;1438100
"78";2021;1456365
"79";2021;374587
"80";2021;566252
"81";2021;393572
"82";2021;263377
"83";2021;1095337
"84";2021;564566
"85";2021;699459
"86";2021;439385
"87";2021;371691
"88";2021;360673
"89";2021;333385
"90";2021;139654
"91";2021;1313768
"92";2021;1635291
"93";2021;1668670
"94";2021;1415367
"95";2021;1256607
